Id,Nome,R,Sq,QtA,FVM,n_stagioni,trend,deltaFM_recente,PV_medie,FM_23_24,FM_24_25,FM_25_26,tier_23_24,tier_24_25,tier_25_26
2006,Lirola,D,Verona,2,7,2,dato singolo,,14.5,5.96,,5.3,C,,
5498,Casale,D,Bologna,1,9,3,stabile,-0.08,14.7,5.47,5.63,5.55,D,D,D
418,Goldaniga,D,Como,1,6,2,stabile,0.2,14.3,5.58,5.78,0.0,D,D,
140,Hysaj,D,Lazio,1,4,3,dato singolo,,10.3,5.6,6.25,5.67,D,,
6985,Candè,D,Sassuolo,1,5,2,dato singolo,,12.5,,5.85,5.56,,D,
6875,Paz N.,C,Como,26,245,2,stabile,0.23,34,,7.11,7.34,,A,A
4777,McTominay,C,Napoli,25,215,2,calante,-0.39,33.5,,7.6,7.21,,A,A
2194,Calhanoglu,C,Inter,24,190,3,altalenante,0.73,27.3,7.7,6.82,7.55,A,B,A
2423,Pulisic,C,Milan,24,100,3,calante,-0.51,33,7.54,7.44,6.93,A,A,A
2379,Rabiot,C,Milan,23,195,2,crescente,0.51,30,6.47,,6.98,B,,A
5559,Da Cunha,C,Como,20,80,2,crescente,0.56,35.5,,6.4,6.96,,C,A
152,Zielinski,C,Inter,20,60,3,crescente,0.58,26.7,6.23,6.31,6.89,C,C,A
6908,Atta,C,Udinese,20,85,2,crescente,1.04,28.5,,5.82,6.86,,D,A
2167,Orsolini,C,Bologna,19,150,3,exploit singolo,-1.31,31.7,7.03,8.12,6.81,A,A,A
2766,Zaniolo,C,Udinese,19,100,2,crescente,0.65,25,,6.11,6.76,,D,B
1870,Barella,C,Inter,18,58,3,stabile,-0.01,34.7,6.57,6.73,6.72,B,B,B
4973,McKennie,C,Juventus,18,107,3,crescente,0.57,32.7,6.18,6.15,6.72,C,C,B
6884,Conceicao,C,Juventus,18,65,2,stabile,0.11,28,,6.54,6.65,,B,B
1933,Mandragora,C,Fiorentina,17,60,3,altalenante,-0.1,30.7,6.25,6.66,6.56,C,B,B
5687,Vlasic,C,Torino,17,100,3,crescente,0.02,33.3,6.38,6.68,6.7,C,B,B
6151,Perrone,C,Como,16,50,2,crescente,0.5,30.5,,6.06,6.56,,D,B
4970,Messias,C,Genoa,16,12,3,altalenante,0.63,17.3,6.35,6.03,6.66,C,D,B
6398,Isaksen,C,Lazio,16,35,3,stabile,0.26,29.3,6.33,6.3,6.56,C,C,B
4427,Malinovskyi,C,Genoa,15,34,3,stabile,0.01,22.3,6.46,6.28,6.47,B,,B
4892,Saelemaekers,C,Milan,15,36,3,exploit singolo,-0.91,29,6.43,7.41,6.5,C,A,B
4220,Zambo Anguissa,C,Napoli,15,20,3,altalenante,-0.06,28.7,5.74,6.89,6.83,D,B,A
6666,Bernabè,C,Parma,15,23,2,stabile,-0.14,25.5,,6.53,6.39,,B,C
5844,Thorstvedt,C,Sassuolo,15,40,2,stabile,0.23,32.5,6.38,,6.61,C,,B
5422,Zalewski,C,Atalanta,14,19,3,crescente,0.18,24,5.75,6.21,6.39,D,C,C
2529,Mkhitaryan,C,Inter,14,14,3,altalenante,0.34,32,6.68,6.16,6.5,B,C,B
5562,Thuram K.,C,Juventus,14,41,2,calante,-0.36,34,,6.67,6.31,,B,C
6190,Pisilli,C,Roma,14,17,2,crescente,0.31,16,0.0,6.12,6.43,,C,B
6684,Ekkelenkamp,C,Udinese,14,51,2,crescente,0.33,32,,6.23,6.56,,C,B
5792,Ederson D.S.,C,Atalanta,13,30,3,stabile,-0.08,34,6.57,6.51,6.43,B,B,B
2765,Odgaard,C,Bologna,13,14,3,calante,-0.3,19.7,7.0,6.91,6.61,,A,B
4364,Gaetano,C,Cagliari,13,15,3,calante,0.02,25.3,6.88,6.31,6.33,B,C,C
5036,Caqueret,C,Como,13,18,2,calante,-0.34,22.5,,6.75,6.41,,B,C
4486,Strefezza,C,Parma,13,50,3,altalenante,-0.15,23.3,5.95,6.76,6.61,D,B,B
5800,Gudmundsson A.,C,Fiorentina,13,35,3,calante,-0.75,29.3,7.67,6.98,6.23,A,A,C
632,Zaccagni,C,Lazio,13,25,3,altalenante,-1.01,29.3,6.8,7.01,6.0,B,A,D
5504,Coulibaly L.,C,Lecce,13,21,3,crescente,0.36,32.3,5.54,5.91,6.27,D,D,C
536,Politano,C,Napoli,13,31,3,calante,-0.02,35.7,6.77,6.35,6.33,B,C,C
779,Cristante,C,Roma,13,26,3,stabile,-0.28,34.3,6.32,6.48,6.2,C,B,C
5589,Konè M.,C,Roma,13,39,2,stabile,0.09,31,,6.38,6.47,,C,B
530,Pellegrini Lo.,C,Roma,13,24,3,altalenante,0.74,26,6.97,5.84,6.58,A,D,B
5735,Volpato,C,Sassuolo,13,17,2,crescente,0.43,19,6.0,,6.43,D,,B
5888,Casadei,C,Torino,13,20,2,crescente,0.29,23.5,,6.23,6.52,,C,B
2077,Pasalic,C,Atalanta,12,14,3,altalenante,0.12,32.7,6.88,6.15,6.27,B,C,C
4404,Thorsby,C,Cremonese,12,12,3,altalenante,0.71,23.7,6.29,5.61,6.32,C,D,C
827,Locatelli,C,Juventus,12,47,3,stabile,-0.05,35.3,5.97,6.26,6.21,D,C,C
4465,Fagioli,C,Fiorentina,11,35,3,stabile,0.19,21.7,6.31,6.08,6.27,,D,C
333,Cataldi,C,Lazio,11,17,3,altalenante,-0.09,25.7,5.87,6.42,6.33,D,C,C
5674,Basic,C,Lazio,11,25,2,crescente,1.04,12.3,5.29,0.0,6.33,D,,C
5453,Ricci S.,C,Milan,11,13,3,stabile,-0.03,31,5.93,6.19,6.16,D,C,C
6898,Keita M.,C,Parma,11,18,2,crescente,0.27,32,,5.77,6.04,,D,C
4947,Brescianini,C,Fiorentina,10,15,3,altalenante,-0.4,25,6.38,6.66,6.26,C,B,C
4896,Maldini,C,Lazio,10,20,3,calante,-0.26,20.7,6.94,6.59,6.33,B,B,C
6252,Folorunsho,C,Cagliari,10,14,3,altalenante,0.37,24,6.35,5.73,6.1,C,D,C
4686,Fofana Y.,C,Milan,10,18,2,stabile,-0.19,33.5,,6.24,6.05,,C,C
4199,Loftus-Cheek,C,Milan,10,12,3,altalenante,0.76,23,6.6,5.72,6.48,B,D,B
4287,Lobotka,C,Napoli,10,20,3,stabile,0.03,33.3,5.92,6.1,6.13,D,D,C
6831,Neres,C,Napoli,10,15,2,stabile,0.12,21,,6.69,6.81,,B,A
1976,Mazzitelli,C,Cagliari,10,12,3,stabile,0.06,17,6.48,6.44,6.54,B,,B
22,De Roon,C,Atalanta,9,22,3,altalenante,-0.56,33.3,6.08,6.56,6.0,C,B,D
5119,Samardzic,C,Atalanta,9,11,3,calante,-0.07,28,6.66,6.27,6.2,B,C,C
6054,Moro N.,C,Bologna,9,11,3,stabile,0.07,20.7,6.06,6.09,6.16,C,D,C
6294,Ndour,C,Fiorentina,9,22,2,dato singolo,,18.5,,5.64,5.98,,,D
5791,Frendrup,C,Genoa,9,15,3,calante,-0.05,36,6.43,6.06,6.01,B,D,D
4711,Kostic,C,Juventus,9,8,2,crescente,1.2,13,5.9,0.0,7.1,D,,A
795,El Shaarawy,C,Roma,9,11,3,stabile,-0.36,23,6.36,6.64,6.28,C,B,C
5823,Baldanzi,C,Genoa,9,15,3,stabile,0.14,20.7,6.19,6.1,6.24,C,D,C
6680,Karlstrom,C,Udinese,9,15,2,stabile,0.08,36.5,,5.82,5.9,,D,D
788,Freuler,C,Bologna,8,14,3,stabile,-0.15,32.3,6.12,6.19,6.04,C,C,D
5298,Pobega,C,Bologna,8,13,3,stabile,-0.09,17.7,5.94,6.31,6.22,,C,C
4870,Adopo,C,Cagliari,8,13,3,stabile,0.08,25.7,6.0,5.87,5.95,,D,D
6020,Ellertsson,C,Genoa,8,10,2,calante,-0.26,35,,6.13,5.87,,C,D
6394,Ramadani,C,Lecce,8,13,3,stabile,-0.02,32.7,5.74,5.94,5.92,D,D,D
