Id,Nome,Sq,PV,MV,FM,Gf,Gs,RigSegnati,RigTirati,RigParati,Assist,Amm,Esp
5338,Rinaldi,PAR,0,0.0,0.0,0,0,0,0,0,0,0,0
2203,Di Chiara,PAR,0,0.0,0.0,0,0,0,0,0,0,0,0
6668,Partipilo,PAR,0,0.0,0.0,0,0,0,0,0,0,0,0
5304,Boer,ROM,0,0.0,0.0,0,0,0,0,0,0,0,0
5384,Ryan,ROM,0,0.0,0.0,0,0,0,0,0,0,0,0
4245,Smalling,ROM,0,0.0,0.0,0,0,0,0,0,0,0,0
4495,Kumbulla,ROM,0,0.0,0.0,0,0,0,0,0,0,0,0
6649,Sangare' B.,ROM,0,0.0,0.0,0,0,0,0,0,0,0,0
6603,Joao Costa,ROM,0,0.0,0.0,0,0,0,0,0,0,0,0
6210,Popa,TOR,0,0.0,0.0,0,0,0,0,0,0,0,0
6474,Sazonov,EMP,0,0.0,0.0,0,0,0,0,0,0,0,0
6041,Schuurs,TOR,0,0.0,0.0,0,0,0,0,0,0,0,0
6256,Ferreira J.,UDI,0,0.0,0.0,0,0,0,0,0,0,0,0
5848,Ebosele,UDI,0,0.0,0.0,0,0,0,0,0,0,0,0
5676,Success,UDI,0,0.0,0.0,0,0,0,0,0,0,0,0
6635,Pizarro,UDI,0,0.0,0.0,0,0,0,0,0,0,0,0
5521,Bertinato,VEN,0,0.0,0.0,0,0,0,0,0,0,0,0
6671,Grandi,VEN,0,0.0,0.0,0,0,0,0,0,0,0,0
434,Jajalo,VEN,0,0.0,0.0,0,0,0,0,0,0,0,0
5492,Tessmann,VEN,0,0.0,0.0,0,0,0,0,0,0,0,0
6233,Lella,VEN,0,0.0,0.0,0,0,0,0,0,0,0,0
4491,Berardi A.,VER,0,0.0,0.0,0,0,0,0,0,0,0,0
6284,Okou,VER,0,0.0,0.0,0,0,0,0,0,0,0,0
1891,Ceccherini,VER,0,0.0,0.0,0,0,0,0,0,0,0,0
6579,Mitrovic S.,VER,0,0.0,0.0,0,0,0,0,0,0,0,0
6558,Tavsan,VER,0,0.0,0.0,0,0,0,0,0,0,0,0
6490,Cruz,VER,0,0.0,0.0,0,0,0,0,0,0,0,0
6679,Esteves G.,UDI,0,0.0,0.0,0,0,0,0,0,0,0,0
4351,Brancolini,EMP,0,0.0,0.0,0,0,0,0,0,0,0,0
4929,Ciocci,CAG,0,0.0,0.0,0,0,0,0,0,0,0,0
6813,Torriani,MIL,0,0.0,0.0,0,0,0,0,0,0,0,0
216,Donnarumma An.,TOR,0,0.0,0.0,0,0,0,0,0,0,0,0
6818,Mazza,MON,0,0.0,0.0,0,0,0,0,0,0,0,0
6819,El Haddad,VEN,0,0.0,0.0,0,0,0,0,0,0,0,0
6824,Marin Re.,ROM,0,0.0,0.0,0,0,0,0,0,0,0,0
6612,Dellavalle,TOR,0,0.0,0.0,0,0,0,0,0,0,0,0
6834,Cassa,ATA,0,0.0,0.0,0,0,0,0,0,0,0,0
6839,Byar,BOL,0,0.0,0.0,0,0,0,0,0,0,0,0
6618,Cisse' A.,VER,0,0.0,0.0,0,0,0,0,0,0,0,0
6872,Manzoni,ATA,0,0.0,0.0,0,0,0,0,0,0,0,0
6897,Kouda,PAR,0,0.0,0.0,0,0,0,0,0,0,0,0
6891,Vos,MIL,0,0.0,0.0,0,0,0,0,0,0,0,0
6903,Hasa,NAP,0,0.0,0.0,0,0,0,0,0,0,0,0
2091,Plizzari,VEN,0,0.0,0.0,0,0,0,0,0,0,0,0
6910,Kowalski,PAR,0,0.0,0.0,0,0,0,0,0,0,0,0
464,Florenzi,MIL,0,0.0,0.0,0,0,0,0,0,0,0,0
4285,Arthur Melo,JUV,0,0.0,0.0,0,0,0,0,0,0,0,0
5674,Basic,LAZ,0,0.0,0.0,0,0,0,0,0,0,0,0
537,Sansone,LEC,0,0.0,0.0,0,0,0,0,0,0,0,0
5707,Piana,UDI,0,0.0,0.0,0,0,0,0,0,0,0,0
6970,Selvik,UDI,0,0.0,0.0,0,0,0,0,0,0,0,0
797,Marcone,PAR,0,0.0,0.0,0,0,0,0,0,0,0,0
6492,Ibrahimovic A.,LAZ,0,0.0,0.0,0,0,0,0,0,0,0,0
